q_number,var_name,raw_col_name,q_text_uz,section,q_type,response_options,valid_min,valid_max,skip_condition,analytic_role,notes
admin_a,region,region,Ҳудудни танланг,admin,single_choice,karakalpakstan|andijan|bukhara|jizzakh|kashkadarya|navoi|namangan|samarkand|surkhandarya|sirdarya|tashkent_region|fergana|khorezm|tashkent_city,,,always,admin_metadata,Stratification variable; must be validated against official UZ 14-region reference list
admin_b,district,district,Туманни танланг,admin,single_choice,(dynamic — depends on region),,,always,admin_metadata,277 districts; normalize against official reference; currently only whitespace-normalized
admin_v,interviewer,Интервьюерни танланг:,Интервьюерни танланг,admin,single_choice,(list of named interviewers),,,always,admin_metadata,Primary QC variable; basis for interviewer-level quality audit
admin_g,obs_type,Кузатув тури,Кузатув тури,admin,single_choice,list_1500|list_500,,,always,admin_metadata,Identifies sampling list source (CBU-provided 1500-list vs 500-list)
admin_d,list_type,Рўйхат турини танланг:,Рўйхат турини танланг,admin,single_choice,main|reserve|additional,,,always,admin_metadata,main and reserve = borrower lists; additional = non-borrower/general population list
admin_e,resp_id,resp,Респондентни танланг,admin,open_text,,,,always,identifier,Pre-filled from sampling frame; links to bank administrative records where available
admin_j,resp_name_add,Қўшимча респондентнинг тўлиқ исмини киритинг,Қўшимча респондентнинг тўлиқ исмини киритинг,admin,open_text,,,,list_type == 'additional',identifier,Only for additional (non-borrower) list; PII — keep separate from analytic dataset
admin_z,credit_type_admin,Мавжуд кредит тури:,Мавжуд кредит тури,admin,single_choice,mortgage|family|microloan|consumer|auto|microcredit|education|other,,,list_type != 'additional',admin_metadata,Pre-filled from bank records — NOT self-reported; basis for kredit_turi field; must NOT be confused with Q2.5 (self-reported source)
admin_z_other,credit_type_admin_other,Мавжуд кредит тури: (Бошқа),Мавжуд кредит тури (Бошқа),admin,open_text,,,,credit_type_admin == 'other',open_text,Code recurring values back into credit_type_admin categories
admin_i,holat1,holat1,Мавжуд кредит ҳолати,admin,single_choice,on_time|delayed_1to3m|npl_3m_plus,,,list_type != 'additional',admin_metadata,Pre-filled from bank records; basis for derived is_npl and is_delayed; 3-category payment status
consent,consent,Ушбу сўровномада қатнашишга розимисиз?,Ушбу сўровномада қатнашишга розимисиз?,admin,single_choice,yes|no,,,always,admin_metadata,If no → terminate interview; do not include refusals in analytic dataset
1.1,age,1.1. Ёшингиз:,Ёшингиз (тўлиқ ёш),block1,numeric,,18,80,consent == 'yes',demographic,Integer years; valid range 18–80; check against date_of_birth metadata if available; questionnaire field is canonical
