var_name,code,label_uz,label_en,sort_order
region,karakalpakstan,Қорақалпоғистон Республикаси,Republic of Karakalpakstan,1
region,andijan,Андижон вилояти,Andijan region,2
region,bukhara,Бухоро вилояти,Bukhara region,3
region,jizzakh,Жиззах вилояти,Jizzakh region,4
region,kashkadarya,Қашқадарё вилояти,Kashkadarya region,5
region,navoi,Навоий вилояти,Navoi region,6
region,namangan,Наманган вилояти,Namangan region,7
region,samarkand,Самарқанд вилояти,Samarkand region,8
region,surkhandarya,Сурхондарё вилояти,Surkhandarya region,9
region,sirdarya,Сирдарё вилояти,Sirdarya region,10
region,tashkent_region,Тошкент вилояти,Tashkent region,11
region,fergana,Фарғона вилояти,Fergana region,12
region,khorezm,Хоразм вилояти,Khorezm region,13
region,tashkent_city,Тошкент шаҳри,Tashkent city,14
obs_type,list_1500,1500 талик рўйхат (Марказий банк),CBU 1500-record list,1
obs_type,list_500,500 талик рўйхат,500-record list,2
list_type,main,Асосий рўйхат,Main list,1
list_type,reserve,Захирадаги рўйхат,Reserve list,2
list_type,additional,Қўшимча рўйхат,Additional list,3
credit_type_admin,mortgage,Ипотека кредити,Mortgage,1
credit_type_admin,family,Оилавий,Family entrepreneurship,2
credit_type_admin,microloan,Микрокарз,Microloan,3
credit_type_admin,consumer,Истеъмол кредити,Consumer credit,4
credit_type_admin,auto,Автокредит,Auto credit,5
credit_type_admin,microcredit,Микрокредит,Microcredit,6
credit_type_admin,education,Таълим кредити,Education credit,7
credit_type_admin,other,Бошқа,Other,8
holat1,on_time,Қарздорликни ўз вақтида тўлаётган мижозлар,On-time payer,1
holat1,delayed_1to3m,1–3 ой кечикиш билан тўлаётган мижозлар,1–3 month delay,2
holat1,npl_3m_plus,3 ой ва ундан кўп муддат (NPL) тўламаётган мижозлар,NPL (3+ months overdue),3
consent,yes,Ҳа,Yes,1
consent,no,Йўқ,No,2
gender,male,Эркак,Male,1
gender,female,Аёл,Female,2
marital_status,never_married,Турмуш қурмаган,Never married,1
marital_status,married,Турмуш қурган,Married,2
marital_status,widowed_divorced,Бева/Ажрашган,Widowed or divorced,3
education,secondary,Ўрта таълим (мактаб/лицей),Secondary (school/lyceum),1
education,vocational,Ўрта махсус/касб-ҳунар (техникум/коллеж),Vocational/technical,2
education,higher,Олий таълим (бакалавр/магистр),Higher education,3
