repay_group,method,share
1-3 month delay,Банк ташкилотлари,0.9439024390243902
1-3 month delay,Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахсларга,0.0975609756097561
1-3 month delay,Микромолия ташкилотлари,0.03170731707317073
1-3 month delay,Норасмий насия бўйича қарзлар,0.02195121951219512
1-3 month delay,Расмий насия бўйича қарзлар,0.041463414634146344
1-3 month delay,Яқинлардан олинган қарз,0.1073170731707317
NPL (3+ months),Банк ташкилотлари,0.9419191919191919
NPL (3+ months),Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахсларга,0.10353535353535354
NPL (3+ months),Микромолия ташкилотлари,0.039141414141414144
NPL (3+ months),Норасмий насия бўйича қарзлар,0.007575757575757576
NPL (3+ months),Расмий насия бўйича қарзлар,0.04292929292929293
NPL (3+ months),Яқинлардан олинган қарз,0.12878787878787878
On-time,Банк ташкилотлари,0.9226006191950464
On-time,Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахсларга,0.14551083591331268
On-time,Микромолия ташкилотлари,0.034055727554179564
On-time,Норасмий насия бўйича қарзлар,0.018575851393188854
On-time,Расмий насия бўйича қарзлар,0.04643962848297214
On-time,Яқинлардан олинган қарз,0.1021671826625387
