row_id,rule_name,block_hint,n_selected
2,Q2.2 max 3 selections,2.2.,6
6,Q2.2 max 3 selections,2.2.,4
7,Q2.2 max 3 selections,2.2.,6
9,Q2.2 max 3 selections,2.2.,5
10,Q2.2 max 3 selections,2.2.,5
23,Q2.2 max 3 selections,2.2.,4
25,Q2.2 max 3 selections,2.2.,5
28,Q2.2 max 3 selections,2.2.,6
35,Q2.2 max 3 selections,2.2.,5
48,Q2.2 max 3 selections,2.2.,4
55,Q2.2 max 3 selections,2.2.,5
62,Q2.2 max 3 selections,2.2.,4
71,Q2.2 max 3 selections,2.2.,5
75,Q2.2 max 3 selections,2.2.,4
84,Q2.2 max 3 selections,2.2.,6
85,Q2.2 max 3 selections,2.2.,4
98,Q2.2 max 3 selections,2.2.,5
113,Q2.2 max 3 selections,2.2.,4
116,Q2.2 max 3 selections,2.2.,4
124,Q2.2 max 3 selections,2.2.,4
126,Q2.2 max 3 selections,2.2.,4
144,Q2.2 max 3 selections,2.2.,5
151,Q2.2 max 3 selections,2.2.,5
164,Q2.2 max 3 selections,2.2.,5
187,Q2.2 max 3 selections,2.2.,4
194,Q2.2 max 3 selections,2.2.,4
204,Q2.2 max 3 selections,2.2.,4
215,Q2.2 max 3 selections,2.2.,4
225,Q2.2 max 3 selections,2.2.,6
226,Q2.2 max 3 selections,2.2.,4
248,Q2.2 max 3 selections,2.2.,5
291,Q2.2 max 3 selections,2.2.,4
318,Q2.2 max 3 selections,2.2.,4
359,Q2.2 max 3 selections,2.2.,5
370,Q2.2 max 3 selections,2.2.,4
379,Q2.2 max 3 selections,2.2.,4
415,Q2.2 max 3 selections,2.2.,4
432,Q2.2 max 3 selections,2.2.,4
440,Q2.2 max 3 selections,2.2.,5
454,Q2.2 max 3 selections,2.2.,4
483,Q2.2 max 3 selections,2.2.,4
498,Q2.2 max 3 selections,2.2.,4
511,Q2.2 max 3 selections,2.2.,4
524,Q2.2 max 3 selections,2.2.,5
543,Q2.2 max 3 selections,2.2.,4
546,Q2.2 max 3 selections,2.2.,4
554,Q2.2 max 3 selections,2.2.,6
568,Q2.2 max 3 selections,2.2.,4
584,Q2.2 max 3 selections,2.2.,4
594,Q2.2 max 3 selections,2.2.,5
611,Q2.2 max 3 selections,2.2.,5
615,Q2.2 max 3 selections,2.2.,5
637,Q2.2 max 3 selections,2.2.,5
649,Q2.2 max 3 selections,2.2.,4
671,Q2.2 max 3 selections,2.2.,4
690,Q2.2 max 3 selections,2.2.,5
704,Q2.2 max 3 selections,2.2.,4
723,Q2.2 max 3 selections,2.2.,4
737,Q2.2 max 3 selections,2.2.,4
749,Q2.2 max 3 selections,2.2.,5
795,Q2.2 max 3 selections,2.2.,5
800,Q2.2 max 3 selections,2.2.,4
826,Q2.2 max 3 selections,2.2.,5
828,Q2.2 max 3 selections,2.2.,4
845,Q2.2 max 3 selections,2.2.,4
863,Q2.2 max 3 selections,2.2.,4
891,Q2.2 max 3 selections,2.2.,4
900,Q2.2 max 3 selections,2.2.,4
904,Q2.2 max 3 selections,2.2.,4
909,Q2.2 max 3 selections,2.2.,4
917,Q2.2 max 3 selections,2.2.,6
932,Q2.2 max 3 selections,2.2.,5
936,Q2.2 max 3 selections,2.2.,5
945,Q2.2 max 3 selections,2.2.,5
963,Q2.2 max 3 selections,2.2.,4
977,Q2.2 max 3 selections,2.2.,4
1017,Q2.2 max 3 selections,2.2.,4
1020,Q2.2 max 3 selections,2.2.,4
1026,Q2.2 max 3 selections,2.2.,4
1035,Q2.2 max 3 selections,2.2.,5
1062,Q2.2 max 3 selections,2.2.,4
1077,Q2.2 max 3 selections,2.2.,6
1129,Q2.2 max 3 selections,2.2.,4
1164,Q2.2 max 3 selections,2.2.,4
1188,Q2.2 max 3 selections,2.2.,5
1227,Q2.2 max 3 selections,2.2.,4
1228,Q2.2 max 3 selections,2.2.,5
1244,Q2.2 max 3 selections,2.2.,4
1266,Q2.2 max 3 selections,2.2.,4
1274,Q2.2 max 3 selections,2.2.,6
1287,Q2.2 max 3 selections,2.2.,4
1292,Q2.2 max 3 selections,2.2.,5
1303,Q2.2 max 3 selections,2.2.,4
1319,Q2.2 max 3 selections,2.2.,4
1327,Q2.2 max 3 selections,2.2.,5
1345,Q2.2 max 3 selections,2.2.,5
1369,Q2.2 max 3 selections,2.2.,4
1386,Q2.2 max 3 selections,2.2.,5
1392,Q2.2 max 3 selections,2.2.,7
1403,Q2.2 max 3 selections,2.2.,4
1426,Q2.2 max 3 selections,2.2.,5
1473,Q2.2 max 3 selections,2.2.,6
1498,Q2.2 max 3 selections,2.2.,4
1505,Q2.2 max 3 selections,2.2.,4
1508,Q2.2 max 3 selections,2.2.,6
1517,Q2.2 max 3 selections,2.2.,5
1560,Q2.2 max 3 selections,2.2.,4
1574,Q2.2 max 3 selections,2.2.,4
1598,Q2.2 max 3 selections,2.2.,5
1613,Q2.2 max 3 selections,2.2.,4
1620,Q2.2 max 3 selections,2.2.,4
1629,Q2.2 max 3 selections,2.2.,5
1654,Q2.2 max 3 selections,2.2.,5
1672,Q2.2 max 3 selections,2.2.,4
1674,Q2.2 max 3 selections,2.2.,4
1689,Q2.2 max 3 selections,2.2.,4
1712,Q2.2 max 3 selections,2.2.,4
1722,Q2.2 max 3 selections,2.2.,4
1726,Q2.2 max 3 selections,2.2.,4
1738,Q2.2 max 3 selections,2.2.,4
1762,Q2.2 max 3 selections,2.2.,4
1769,Q2.2 max 3 selections,2.2.,4
1770,Q2.2 max 3 selections,2.2.,4
1774,Q2.2 max 3 selections,2.2.,4
1780,Q2.2 max 3 selections,2.2.,4
1784,Q2.2 max 3 selections,2.2.,4
1788,Q2.2 max 3 selections,2.2.,4
1795,Q2.2 max 3 selections,2.2.,4
1798,Q2.2 max 3 selections,2.2.,4
1805,Q2.2 max 3 selections,2.2.,4
