"dummy_block","n_cols","any_matrix_words"
"3.7. Нима сабабдан қарз (кредит, насия) ўз вақтида амалга ошириш имконияти мавжуд бўлмаган?",16,FALSE
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?",12,FALSE
"1.9. Сиз асосан нималардан доимий даромад топасиз?",10,TRUE
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?",10,TRUE
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?",9,TRUE
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?",8,FALSE
"2.5. Қарз, кредит, насия қайси манбадан олинган?",7,FALSE
"3.11.1. Кредит/қарз/насияни ундириш жараёнида қуйидагилардан қайсилари сизга нисбатан қўлланилган?",7,FALSE
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?",7,FALSE
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?",6,FALSE
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?",6,TRUE
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?",6,FALSE
"3.9. Биринчи навбатда қайси манбадаги қарзлар (кредит, насия) тўланиши керак деб ҳисоблайсиз?",6,FALSE
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?",4,FALSE
"1-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?",1,FALSE
"1-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?",1,FALSE
